;Big Bang Glissey;;;EU;Intermediate;1
;Blueshift;;;EU;Intermediate;1
;Bonsai Wild;;;EU;Intermediate;1
;Bunny Disaster;;;EU;Intermediate;1
;butter flys;;;EU;Intermediate;1
;Dark Spectrum;;;EU;Intermediate;1
;DI-Sleipnir;;;EU;Intermediate;1
;Epoch Emerald;;;EU;Intermediate;1
;Fable Wyvern;;;EU;Intermediate;1
;Faster Than Miau;;;EU;Intermediate;1
;Gear Voltage;;;EU;Intermediate;1
;Greed's Anguish;;;EU;Intermediate;1
;Honeybadgers;;;EU;Intermediate;1
;Ibex;;;EU;Intermediate;1
;LavaLillies;;;EU;Intermediate;1
;Marble in Korean;;;EU;Intermediate;1
;Mercury;;;EU;Intermediate;1
;Meta Proof;;;EU;Intermediate;1
;Normie Esport;;;EU;Intermediate;1
;OwOwatch;;;EU;Intermediate;1
;Platinum Pumas;;;EU;Intermediate;1
;Power Dragons;;;EU;Intermediate;1
;Predicted Sixth: Sense;;;EU;Intermediate;1
;QU4K3;;;EU;Intermediate;1
;Rage Quit Odyssey;;;EU;Intermediate;1
;Revision;;;EU;Intermediate;1
;Safir Gaming;;;EU;Intermediate;1
;Sallad Leuf;;;EU;Intermediate;1
;Saturn;;;EU;Intermediate;1
;Shane's Shanes;;;EU;Intermediate;1
;Solar Zeus;;;EU;Intermediate;1
;Speed Boost Academy;;;EU;Intermediate;1
;Team 1;;;EU;Intermediate;1
;The Flaming Badgers;;;EU;Intermediate;1
;The Last Simps;;;EU;Intermediate;1
;The Other Team;;;EU;Intermediate;1
;TSP-Acadamy;;;EU;Intermediate;1
;TuS Griesheim eSports;;;EU;Intermediate;1
;Venomous Valkyries;;;EU;Intermediate;1
;Vibia Requiem;;;EU;Intermediate;1
;Villains;;;EU;Intermediate;1
;Wasted Nano;;;EU;Intermediate;1
;Wrong division 5head;;;EU;Intermediate;1
;Xelos;;;EU;Intermediate;1
;XL3 Academy;;;EU;Intermediate;1
;0ne;;;EU;Rookie;1
;2head;;;EU;Rookie;1
;AgOrientum;;;EU;Rookie;1
;Catana WiGJ;;;EU;Rookie;1
;Chimeras;;;EU;Rookie;1
;Chonky Bois;;;EU;Rookie;1
;Daedra;;;EU;Rookie;1
;DI Valravn;;;EU;Rookie;1
;Doot Squad;;;EU;Rookie;1
;DoubleCrosseSports Team Viper;;;EU;Rookie;1
;Feeders United;;;EU;Rookie;1
;Fireflies;;;EU;Rookie;1
;Gold Ping;;;EU;Rookie;1
;Greed's Anguish University ( G.A.U);;;EU;Rookie;1
;No Feeders;;;EU;Rookie;1
;Pepega Crusaders;;;EU;Rookie;1
;Pixelate;;;EU;Rookie;1
;Sol Invictus;;;EU;Rookie;1
;SoLid;;;EU;Rookie;1
;Team Pending Name Team;;;EU;Rookie;1
;TheHolyOrderOfTorbjorns;;;EU;Rookie;1
;Vulpine Academy;;;EU;Rookie;1
;weebs go brrrr;;;EU;Rookie;1
;Absolute Frost;;;EU;Unlimited;1
;Abyssal Radiance;;;EU;Unlimited;1
;Brazil Drip;;;EU;Unlimited;1
;CIRCE;;;EU;Unlimited;1
;HBT;;;EU;Unlimited;1
;LSF;;;EU;Unlimited;1
;Munich eSport Nemesis;;;EU;Unlimited;1
;Otter Gang;;;EU;Unlimited;1
;Overwatchos;;;EU;Unlimited;1
;Shanghai Wagons;;;EU;Unlimited;1
;Whole Snack;;;EU;Unlimited;1
;[Altiora] Olympus;;;NA;Advanced;1
;Ape Academy;;;NA;Advanced;1
;Art Theurgia;;;NA;Advanced;1
;Ascendency Alpha;;;NA;Advanced;1
;Bench Boys;;;NA;Advanced;1
;Blue's Clues Bandits;;;NA;Advanced;1
;Crunch Time Crunchers;;;NA;Advanced;1
;Doo Doo Blast;;;NA;Advanced;1
;EYEs Academy;;;NA;Advanced;1
;Feeding Dolphins;;;NA;Advanced;1
;Fizh (Adv);;;NA;Advanced;1
;Gambit;;;NA;Advanced;1
;GG Go Next (Adv);;;NA;Advanced;1
;Helpdesk Hogan;;;NA;Advanced;1
;KSU Overwatch B-Team;;;NA;Advanced;1
;Lunar Soleil;;;NA;Advanced;1
;o7 Lunatics;;;NA;Advanced;1
;o7 Maniacs;;;NA;Advanced;1
;Pandemic;;;NA;Advanced;1
;Pepega Kappers;;;NA;Advanced;1
;Pls b nuff DPS;;;NA;Advanced;1
;Project D;;;NA;Advanced;1
;Relentless Esports Academy;;;NA;Advanced;1
;StoryBook Villains;;;NA;Advanced;1
;Supernova;;;NA;Advanced;1
;TAMU White;;;NA;Advanced;1
;Tempo;;;NA;Advanced;1
;UNM Lobos;;;NA;Advanced;1
;VCG Esports;;;NA;Advanced;1
;Vengeance;;;NA;Advanced;1
;Flight of the Valkiwis;;;NA;Beginner;1
;Heroes of Hyrule;;;NA;Beginner;1
;Hyperion Academy;;;NA;Beginner;1
;LF Academy;;;NA;Beginner;1
;Mid Knights;;;NA;Beginner;1
;OKST Trash Pandas;;;NA;Beginner;1
;pope alo;;;NA;Beginner;1
;Shaky Chihuahua;;;NA;Beginner;1
;Unity;;;NA;Beginner;1
;Valhalla Esports;;;NA;Beginner;1
;Velocity Force;;;NA;Beginner;1
;Air Force Gaming;;;NA;Expert;1
;Antipulse E Sports;;;NA;Expert;1
;Bellatrix;;;NA;Expert;1
;Biohazard;;;NA;Expert;1
;Business is Business;;;NA;Expert;1
;Color Drop;;;NA;Expert;1
;Crusader Esports;;;NA;Expert;1
;Damn Daniel;;;NA;Expert;1
;Exile Esports;;;NA;Expert;1
;FA Northbound;;;NA;Expert;1
;False Appearance True Blue;;;NA;Expert;1
;FAU Red;;;NA;Expert;1
;Fish;;;NA;Expert;1
;Gaia Rhea;;;NA;Expert;1
;SABRE;;;NA;Expert;1
;ScuffedGG;;;NA;Expert;1
;Small Indie Team;;;NA;Expert;1
;Spin2Win;;;NA;Expert;1
;TAMU Maroon;;;NA;Expert;1
;The Chimp Club;;;NA;Expert;1
;thrilling.;;;NA;Expert;1
;Toxic Throwers;;;NA;Expert;1
;Velocity Academy;;;NA;Expert;1
;Zentie;;;NA;Expert;1
;[SH] Bonkers;;;NA;Intermediate;1
;50 Shades;;;NA;Intermediate;1
;Add1;;;NA;Intermediate;1
;Alien Mafia;;;NA;Intermediate;1
;Arctic Foxes;;;NA;Intermediate;1
;Art Trinitas;;;NA;Intermediate;1
;Athena's Wrath;;;NA;Intermediate;1
;Attack Torb Blue;;;NA;Intermediate;1
;Azure Eagles;;;NA;Intermediate;1
;Bird Society Hawks;;;NA;Intermediate;1
;Blueshift;;;NA;Intermediate;1
;Central Krakens;;;NA;Intermediate;1
;Chaos;;;NA;Intermediate;1
;Crimson Gaming;;;NA;Intermediate;1
;Crusaders;;;NA;Intermediate;1
;ERAU Eagles;;;NA;Intermediate;1
;FAU Blue;;;NA;Intermediate;1
;Fireteam Cobalt;;;NA;Intermediate;1
;Fireteam Crimson;;;NA;Intermediate;1
;Folklore Gaming Academy;;;NA;Intermediate;1
;Fruit Schmack;;;NA;Intermediate;1
;FuelsBadMan V.2;;;NA;Intermediate;1
;gg go next (Int);;;NA;Intermediate;1
;Halfrings;;;NA;Intermediate;1
;Hardrockers Esports;;;NA;Intermediate;1
;I'm Giving It All I've Got;;;NA;Intermediate;1
;Junkertown Jewels;;;NA;Intermediate;1
;K-On!! With The Sadge Boys;;;NA;Intermediate;1
;La Croix Boys;;;NA;Intermediate;1
;Leviathans;;;NA;Intermediate;1
;Lumberjack Esports;;;NA;Intermediate;1
;Lunar Flower: Violet;;;NA;Intermediate;1
;Lunar Selene;;;NA;Intermediate;1
;Multi Coasters;;;NA;Intermediate;1
;Nexus;;;NA;Intermediate;1
;No Peel;;;NA;Intermediate;1
;Not Your Average Academy;;;NA;Intermediate;1
;Off in The Corner Academy;;;NA;Intermediate;1
;OkState Hunters;;;NA;Intermediate;1
;OkState Raptors;;;NA;Intermediate;1
;Order 66;;;NA;Intermediate;1
;Pizza Department Takeaway;;;NA;Intermediate;1
;Poki's White Knights;;;NA;Intermediate;1
;Quieter Mode;;;NA;Intermediate;1
;Redacted;;;NA;Intermediate;1
;Redshift;;;NA;Intermediate;1
;RITkum bokum;;;NA;Intermediate;1
;Sirius;;;NA;Intermediate;1
;Squid Squad;;;NA;Intermediate;1
;Squid Squad Salmon;;;NA;Intermediate;1
;Tactical Feeding;;;NA;Intermediate;1
;TAMU Team Grey;;;NA;Intermediate;1
;Team Shameful;;;NA;Intermediate;1
;The HUB;;;NA;Intermediate;1
;Thiccums Squad;;;NA;Intermediate;1
;Tidal Typhoon;;;NA;Intermediate;1
;Toxyk Esports;;;NA;Intermediate;1
;UBCO Esports;;;NA;Intermediate;1
;UdeM;;;NA;Intermediate;1
;Varsity Charger eSports;;;NA;Intermediate;1
;Vault 7;;;NA;Intermediate;1
;Velocity University;;;NA;Intermediate;1
;Vendetta;;;NA;Intermediate;1
;We Showed Up;;;NA;Intermediate;1
;ZEGC JJAMMERS;;;NA;Intermediate;1
;Zero Issue Dynamic;;;NA;Intermediate;1
;우유 (Milk);;;NA;Intermediate;1
;#BarelyinPlat;;;NA;Rookie;1
;5 Man Rez;;;NA;Rookie;1
;Above Everything;;;NA;Rookie;1
;Ascent;;;NA;Rookie;1
;Azure Eagles Academy;;;NA;Rookie;1
;Bastion's Birdies;;;NA;Rookie;1
;Bob Mob;;;NA;Rookie;1
;Brap;;;NA;Rookie;1
;Cleaning Supplies;;;NA;Rookie;1
;Clovers Academy;;;NA;Rookie;1
;Compass Plat;;;NA;Rookie;1
;Crimson Crusaders;;;NA;Rookie;1
;Disconnect UwU Squad;;;NA;Rookie;1
;Fireteam Onyx;;;NA;Rookie;1
;Fizh (Rookie);;;NA;Rookie;1
;Gacha Gamers;;;NA;Rookie;1
;GiGaChadz;;;NA;Rookie;1
;Grav-9;;;NA;Rookie;1
;Ignited SparX;;;NA;Rookie;1
;Jacketeers;;;NA;Rookie;1
;Killer Kittens Bizarre Adventure;;;NA;Rookie;1
;Korage;;;NA;Rookie;1
;LeGGs;;;NA;Rookie;1
;Like This Feeder;;;NA;Rookie;1
;Luigiana Purchase;;;NA;Rookie;1
;Manager Pain Haven;;;NA;Rookie;1
;Midnight Gale;;;NA;Rookie;1
;Nemesis;;;NA;Rookie;1
;NFG Chaos;;;NA;Rookie;1
;Nightshade;;;NA;Rookie;1
;o7 Insanity;;;NA;Rookie;1
;Off In The Corner Development;;;NA;Rookie;1
;Pandora Flokkr;;;NA;Rookie;1
;Paradise Tempest;;;NA;Rookie;1
;Pepper With That Salt;;;NA;Rookie;1
;Pro Throws;;;NA;Rookie;1
;PSDN;;;NA;Rookie;1
;Quetzalcoatl gang;;;NA;Rookie;1
;Redemption Arc;;;NA;Rookie;1
;RedSus;;;NA;Rookie;1
;RE-Shaky Lobsters;;;NA;Rookie;1
;Rewind Academy;;;NA;Rookie;1
;RuXs Team;;;NA;Rookie;1
;Sailor Scouts;;;NA;Rookie;1
;Serenity Esports;;;NA;Rookie;1
;SH Siren's Gale;;;NA;Rookie;1
;SomBruhs;;;NA;Rookie;1
;StoryBook Heroes;;;NA;Rookie;1
;Tea Time Team;;;NA;Rookie;1
;The Lobster Lounge;;;NA;Rookie;1
;The Mariachi Band;;;NA;Rookie;1
;The Orphanage;;;NA;Rookie;1
;The Plat Agenda;;;NA;Rookie;1
;Throwronto;;;NA;Rookie;1
;Velocity Momentum;;;NA;Rookie;1
;Velvet Dragons;;;NA;Rookie;1
;Xoloitzcuintle Gang;;;NA;Rookie;1
;(Disbanded) Esports;;;NA;Ultimate;1
;Bird Society Chickadees;;;NA;Ultimate;1
;Boom Crew;;;NA;Ultimate;1
;Gaia Esports Asteria;;;NA;Ultimate;1
;Gaia Esports Hyperion;;;NA;Ultimate;1
;Hammer Down Esports: Armada;;;NA;Ultimate;1
;Hunters Gaming;;;NA;Ultimate;1
;Phoenix rebirth;;;NA;Ultimate;1
;THRIVE Endure;;;NA;Ultimate;1
